name;type;lon;lat
Verein Piramidops Frauentreff;community centre;16.3861777;48.2225009
Wiener Hilfswerk - Nachbarschaftszentrum 2 - Leopoldstadt;community centre;16.3996621;48.2266507
Pensionist*innen-Klub Gumpendorfer Straße;pensioners' club;16.3460659;48.1905846
Wiener Hilfswerk - Nachbarschaftszentrum 7 - Neubau;community centre;16.34278175;48.19993155
Club 21 (Wiener Hilfswerk);community centre;16.34999272;48.2275128
Pensionist*innen-Klub Herzgasse;pensioners' club;16.36750785;48.17855895
Bücherei Neues Landgut;library;16.37346907;48.18211828
Bücherei Philadelphiabrücke;library;16.33051621;48.17545478
Bücherei Hietzing;library;16.28496574;48.1742004
Pensionist*innen-Klub Käthe Dorsch-Gasse;pensioners' club;16.27040996;48.19455075
Wiener Hilfswerk - Nachbarschaftszentrum 15;community centre;16.32843042;48.18731882
Pensionist*innen-Klub (Amtshaus Rudolfsheim Fünfhaus);pensioners' club;16.33441334;48.19471678
Bücherei Hernals;library;16.33110137;48.21890257
Amtshaus Währing;city administration;16.3424015;48.22705993
Pensionist*innen-Klub Greiseneckergasse;pensioners' club;16.37145924;48.23128256
Amtshaus Brigittenau (Sitzungssaal);city administration;16.37100417;48.23323619
Pensionist*innen-Klub Jedlersdorferstraße;pensioners' club;16.40375707;48.27565327
Bücherei Großfeldsiedlung;library;16.44631836;48.27239436
Bücherei Seestadt;library;16.50888909;48.22985417
Pensionist*innen-Klub Biberhaufenweg;pensioners' club;16.47827463;48.21134439
Pensionist*innen-Klub Breitenfurterstraße;pensioners' club;16.26070498;48.13882449
Pensionist*innen-Klub Kinskygasse;pensioners' club;16.33262746;48.14878237
Huma Eleven;shopping centre by RK;16.47310887;48.16948785
Shopping Center Nord (SCN);shopping centre by RK;16.39833668;48.26798228
Millenium City;shopping centre by RK;16.38592901;48.24132906
