NOMEZONA;Quartieri;average annual income brutto
Barca;Borgo Panigale - Reno;23814
Borgo Panigale;Borgo Panigale - Reno;23399
S. Viola;Borgo Panigale - Reno;25430
Bolognina;Navile;22720
Corticella;Navile;25208
Lame;Navile;23768
Costa Saragozza;Porto Saragozza;34024
Malpighi;Porto Saragozza;34128
Marconi;Porto Saragozza;35366
Saffi;Porto Saragozza;26061
San Donato;San Donato - San Vitale;21970
S. Vitale;San Donato - San Vitale;26723
Colli;Santo Stefano;50707
Galvani;Santo Stefano;43313
Irnerio;Santo Stefano;34646
Murri;Santo Stefano;35181
Mazzini;Savena;26039
S. Ruffillo;Savena;28060
